module,testCaseId,preRequisites,title,text,steps,expectedResults,automationManual,priority,createdBy,risk,version,type
Registration,TC_011,Corporate ID and Corporate Employee ID,Corporate Non-Hospital Registration,Verify Corporate Non-Hospital Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Corporate Non-Health Care”    
5. Enter Corporate Id and Corporate Employee Id of associate with respective Title.                                6.Click on “Add new” button and enter all the corporate details.                                
7. Check Yes for International patients and enter the mandatory  fields which are having asterisk(*)symbol.
8.Enter mandatory Details which are having asterisk(*)symbol and click on Register button
9.Enter Payment details by selecting payment mode as CARD/CASH etc
10.Click on submit button",,Automation,P2,Sumitha,High,V10,Function 
Registration,TC_012,,International Patient Registration,Verify International Patient Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”    and type as UHID.      
5.Check Yes for International patients and enter the mandatory  fields which are having asterisk(*)symbol.
6.Enter mandatory Details which are having asterisk(*)symbol and click on Register button
7.Enter Payment details by selecting payment mode as CARD/CASH etc
10.Click on submit button",Successfully International patient should get registered,Automation,P2,Sumitha,High,V1,Function 
Registration,TC_013,,Quick Registration,Verify To generate UHID with Quick Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Registration->Quick Registration
5.Select Registration type as UHID.
6.Select Type of registration as “Normal”.
7.Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
",UHID should get generate for Quick Registration,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_014,Event ID,Event Registration,Verify To generate UHID with Event Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of Registration as “Event” and Registration type as UHID.
5. Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
6. Select payment mode from payment details and complete the registration           ",UHID should get generate for Event Registration,Automation,P2,Sumitha,High,V16,Function 
Registration,TC_015,Campaign name,Campaign Registration,Verify To generate UHID with Campaign Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of Registration as “Campaign ""and Registration type as UHID. 
5.Select the Campaign name from drop down.
6. Enter  the  Mandatory Details which are having asterisk(*)symbol and click on the “Register” button.
7.Select payment mode from payment details  and Click on Submit button    ",UHID should get generate for Campaign Registration,Automation,P2,Sumitha,High,V9,Function 
Registration,TC_016,Batch ID,Camp Batch Registration,Verify To register a Camp members  at one time in a batch mode,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Camp->Batch
5.Click The download excel template for Employee Batch link
6. Save the template           
7.Click on Link ""Check Previous Batch Process""
8.Give From Date and To Date
9.Click on ""Go""
10.Give Batch ID and click on Search
11.Click on Failed Records button.                        
12.Select document to upload
13.Click Browse button
14.Select proper document to upload
15.Click Show Details",,Automation,P2,Sumitha,High,V11,Function 
Registration,TC_017,,UHID with Cash Payment,Verify To generate UHID with Cash Payment,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”                                                               5.Check Yes for International patients and enter the mandatory  fields.
6.Enter  the  Mandatory Details which are having asterisk(*) symbol and click on the “Register” button.
7.Check the transaction billable check box and check the “Cash”  payment mode in Payment details. (By default the transaction check box is checked).
8. Select the Currency and give currency amount in Cash details(Total cash amount should be equivalent to the billable amount)",UHID should get generate with cash Payment,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_018,,UHID with Card Payment,Verify To generate UHID with Card Payment,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Type of registration as “Normal”                                                               5.Check Yes for International patients and enter the mandatory  fields.
6.Enter  the  Mandatory Details which are having asterisk(*) symbol and click on the “Register” button.
7.Check the transaction billable check box and check the “Card”  payment mode in Payment details. (By default the transaction check box is checked) provide the required details and do payment.",UHID should get generate with card Payment,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_019,,Emergency Registration,Verify To generate ERN with Emergency Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4. Function --> Registration->Emergency
5.Enter the mandatory details which are having asterisk(*) symbol and Click on Register button
",ERN Number should get generate,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_020,Valid UHID,Sticker Generation,Verify To Generate Sticker,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Select Sticker Generation from the registration screen.
5.Enter Valid UHID Number and select No . Of copies required.
6.Click on Go button",Stickers should get generate with the number of copies entered.,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_021,,Update Insurance details,Verify updating insurance details to UHID,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on Patient search link and enter valid input values UHID/First name and last name & gender and click on search
5.Select UHID and right click on ""update insurance"" details
6.Make the required changes
7.Click on save",Insurance details should get update for the selected UHID,Automation,P2,Sumitha,High,V15,Function 
Registration,TC_022,Valid UHID number or PRN number,Upload a document ,Verify To Upload a document against a patient ,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4. Navigate to Transaction->Upload 
5.Enter any UHID or PRN and click on show details button.
6.Click on Browse button and select any of the file type(.xls, .doc, .gif, .jpeg, .pdf, .bmp) 
7.Click on Upload record.
8.Select any other file and Click on Document link against the UHID.",User Should be able to Upload Records,Automation,P2,Sumitha,High,V12,Function 
Registration,TC_023,Valid UHID /Any existing Patient details,Patient Program ,Verify Patient Program ,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on patient program link
5.Enter the UHID , Select program  and select from Date and To Date 
6.Click on save
",User is should be able to set particular category and must be able to modify,Automation,P2,Sumitha,High,V18,Function 
Registration,TC_024,Valid UHID ,Smart Card,Verify user able to print the Smart Card,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on smart card link and enter UHID
5.Click on print",Should be able to print Smart Card,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_025,Valid UHID ,Registration Cancellation,Verify User able to Cancel the Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Registration->Cancellation
5.Enter Valid UHID and Click on Show Details Option
6. Select an option from Reason for Cancellation Dropdown and Click on Cancel request.",The Registration should be cancelled Successfully,Automation,P2,Sumitha,High,V8,Function 
Registration,TC_026,Batch ID,Corporate Batch Registration,Verify User able to Perform Corporate Batch Registration,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Corporate->Batch
5.Click The download excel template for Employee Batch link
6. Save the template           
7. Click on Link ""Check Previous Batch Process"" 
8.Give From Date and To Date
9.Click on ""Go""
10.Give Batch ID and click on Search
11.Click on Failed Records button.                          
12.Select document to upload
13.Click Browse button
14.Select proper document to upload
15.Click Show Details ",,Automation,P2,Sumitha,High,V4,Function 
Registration,TC_027,Master UHID and Child UHID,Merge UHID,Verify user able to Merge Master UHID and Child UHID.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Transaction-->Merge/Demerge.
5.Enter Master UHID and Click on Go option.
6.Enter Child UHID and Click on Go option.
7.Click on Merge UHID",Selected UHID Merged Successfully with Master UHID Message should be displayed,Automation,P2,Sumitha,High,V3,Function 
Registration,TC_028,Master UHID,Demerge UHID,Verify user able to Demerge Master UHID and Child UHID.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Functions->Transaction-->Merge/Demerge.
5.Enter Master UHID and Click on Go option.
6. Click on Demerge Consent and Click on Demerge UHID",Selected UHID Demerged Successfully From Master UHID Message should be displayed,Automation,P2,Sumitha,High,V10,Function 
Registration,TC_029,Valid UHID,Reissue UHID,Verify User able to Reissue UHID Card,"1 Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Go to patient search screen, Enter input values like UHID/First name and last name & gender and Click on Search Button.
5. Right click on UHID and select “Reissue UHID” option.
6.Click on Reissue UHID card option.
7.Enter payment details and click on add button and then click on submit button.",,Automation,P2,Sumitha,High,V7,Function 
Registration,TC_030,Valid UHID,Reprint UHID Card,Verify User able to Reprint UHID without Payment.,"1 Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Go to patient search screen, Enter input values like UHID/First name and last name & gender and Click on Search Button.
5.Check for the availability of Reprint UHID icon in the last column of the grid against UHID. 
6.Click on Reprint UHID icon against any UHID.
7.Click on the Print icon.      ",The UHID Card Should be Reprint Successfully without payment,Automation,P2,Sumitha,High,V2,Function 
Registration,TC_031,Valid UHID,Refund Registration Amount,Verify User able to refund Registration amount,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Go to patient search screen, Enter input values like UHID/First name and last name & gender  and Click on Search Button.
5. Right click on UHID and select “Refund” option.
6.Enter amount to be refund.         
7.Select any option from Reasons for Refund drop down.
8.Enter valid comments for refund and Click on Refund option.",,Automation,P2,Sumitha,High,V13,Function 
Registration,TC_032,"1. Doctors should be available
2. Valid UHID",Doctor's Appointment - Schedule,Verify User is able to book Doctor's Appointment - Schedule,"1 Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on Doctor's Appointment Link
5.Enter valid UHID in Registration no. field and click on Go button
6.Select Schedule radio button and Select Mode of appointment along with Select Doctor Speciality
7.Click on Check Availability button and select start and end time.
8.click on book button. 
9.In the pop-up, Click on OK option.",The Appointment should be scheduled successfully.,Automation,P2,Prabakaran,High,V15,Function 
Registration,TC_033,Valid UHID,Doctor's Appointment - Walkin,Verify User is able to book Doctor's Appointment - Walk-In,"1 Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Click on Doctor's Appointment Link
5.Enter valid UHID in Registration no. field and click on Go button
6.Select walk-in radio button and Select Mode of appointment along with Select Doctor Speciality
7.Click on Add button and click on Save.
8.In the pop-up, Click on OK option.",The Appointment should be Booked successfully.,Automation,P2,Prabakaran,High,V9,Function 
Registration,TC_034,,Demographics Master-->Title master,Verify user able to Create a new Demographic values for Title master and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Title Master
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7. Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Title master should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V13,Function 
Registration,TC_035,,Demographics Master-->Suffix,Verify user able to Create a new Demographic values for Suffix and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Suffix
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7. Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Suffix should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V16,Function 
Registration,TC_036,,Demographics Master-->Visa Type,Verify user able to Create a new Demographic values for Visa Type and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographicmasters and click on Visa Type
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7.Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Visa Type should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V1,Function 
Registration,TC_037,,Demographics Master-->Donor,Verify user able to Create a new Demographic values for Donor and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Donor
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7.Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Donor should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V14,Function 
Registration,TC_038,,Demographics Master-->Habits,Verify user able to Create a new Demographic values for Habits and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Habits
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7.Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Habits should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V9,Function 
Registration,TC_039,,Demographics Master-->Religion,Verify user able to Create a new Demographic values for Religion and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Religion
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7. Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Religion should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V3,Function 
Registration,TC_040,,Demographics Master-->Relationship,Verify user able to Create a new Demographic values for Relationship and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Relationship
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7.Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Relationship should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V2,Function 
Registration,TC_041,,Demographics Master-->Patient Type,Verify user able to Create a new Demographic values for Patient Type and validate if it is reflecting in Registration Screen,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Functions->Registration->Demographic Masters->Demographic masters and click on Patient Type
5.Fill the details and click on save
6. Navigate to Functions -> Registration -> Registration.
7. Verify the created Demographic Detail is reflecting under the corresponding field in registration screen.",The Demographic Values for Patient Type should be created successfully and should reflect in Registration screen.,Manual,P1,Prabakaran,Critical,V12,Function 
Registration,TC_042,,Registration counter- shift Login,Verify user able to assign Duty Roaster on Shift Counter Login ,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Click Functions->others->Counter shift login
5.Start Shift ",Shift should be assigned ,Manual,P4,Prabakaran,Low,V18,Function 
Registration,TC_043,Region specific UHID,Enterprise Search UHID its Functionality,Verify user able to search Region specific UHID,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Click on patient search and choose search Type as enterprise Radio button
5.Enter the input values Uhid/First name ,Last name & gender and click on search",Region Specific UHID Details should be displayed,Automation,P2,Prabakaran,High,V17,Function 
Registration,TC_044,,Create UHID without Payment Scenarios,"Verify if UHID Automatically Deactivated or not when User created UHID without Payment, by Closing Payment screen, ","1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select on Registration from drop-down.
4.Click Functions->Registration 
5.Provide the details and click on register button 
6.Make a Note of that UHID 
7.Close the payment window
8.Search that UHID in patient search
9.Check the Status of UHID",,Automation,P2,Prabakaran,High,V14,Function 
Registration,TC_045,Valid From and to Date,Registration Count,Verify Registration Count report,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Reports->Registration count
5.Provide the input details like From and To Date and click on report and observe the report
6.Click on Export to Excel button (if required)",Registration Count report should get generate.,Manual,P4,Sumitha,Low,V2,Non Function 
Registration,TC_046,Valid From and to Date,Registration Bill Generation,Verify Registration Bill Generation,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Reports->Registration Bill Generation
5.Provide the input details like From and To Date and click on report and observe the report
6.Click on Export to Excel button (if required)
",Registration bill generation report should get generate,Manual,P4,Sumitha,Low,V1,Non Function 
Registration,TC_047,Valid From and to Date,Converted to UHID,Verify Converted to UHID report,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Reports->Converted to UHID
5.Provide the input details like From and To Date and click on report and observe the report
6.Click on Export to Excel button (if required)",Record-Converted to UHID report should get generate,Manual,P4,Sumitha,Low,V14,Non Function 
Registration,TC_048,Valid From and to Date,OLD to New UHID conversion,Verify OLD to New UHID report,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Reports->OLD to New UHID
5.Provide the input details like From and To Date and click on report and observe the report
6.Click on Export to Excel button (if required)",OLD to New UHID conversion report should get generate,Manual,P4,Sumitha,Low,V7,Non Function 
Registration,TC_049,Valid From and to Date,RegStateDisCityWiseReport,Verify to RegStateDisCityWiseReport,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Reports->RegStateDisCityWiseReport
5.Provide the input details like From and To Date and click on report and observe the report
6.Click on Export to Excel button (if required)",New Registration State/District /City basis count report should get generate,Manual,P4,Sumitha,Low,V8,Non Function 
Registration,TC_050,Valid From and to Date,SpecialityWise Registration,Verify SpecialityWise Registration report,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on Patient Service Tab and select Registration from the drop down.
4.Navigate to Functions->Reports->SpecialityWise Registration
5.Provide the input details like From and To Date,Specialization and click on report and observe the report
6.Click on Export to Excel button (if required)",Specialization wise Registration report should get generate,Manual,P4,Sumitha,Low,V3,Non Function 
Admin,TC_051,,Audit Home,,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Audit
-> Audit Home.",,,P2,Sankar,High,V5,Function 
Admin,TC_052,,Audit Reports,,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Audit
-> Audit Reports.",,,P2,Sankar,High,V4,Function 
Admin,TC_053,, AHC -> Adding Role ,To verify the user able to Add the role to AHC.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Right click  on AHC and select ""Add Role"".
6.Enter  the Role Name and click on the “Add” button.",Role should be add to AHC,Manual,P1,Sankar,Critical,V18,Function 
Admin,TC_054,,AHC -> AHC CONSULTANT -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC CONSULTANT and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V9,Function 
Admin,TC_055,,AHC ->  AHC CONSULTANT -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC CONSULTANT  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V1,Function 
Admin,TC_056,,AHC -> AHC DIETICIAN -> Rename Role,To verify the user able to Rename the role.,"""1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on  AHC DIETICAIN and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.""",Role name should be Rename,Manual,P1,Sankar,Critical,V12,Function 
Admin,TC_057,,AHC -> AHC DIETICIAN -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC DIETICIAN  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V7,Function 
Admin,TC_058,,AHC -> AHC FLOOR MANAGER -> Rename Role,To verify the user able to Rename the role.,"""1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC FLOOR MANAGER  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.""",Role name should be Rename,Manual,P1,Sankar,Critical,V16,Function 
Admin,TC_059,,AHC -> AHC FLOOR MANAGER -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on  AHC FLOOR MANAGER and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V15,Function 
Admin,TC_060,,AHC -> AHC FRONTOFFICE EXECUTIVE -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC FRONTOFFICE EXCUTIVE  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V18,Function 
Admin,TC_061,,AHC -> AHC FRONTOFFICE EXECUTIVE -> Delete Role,To verify the user able to Delete the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC FRONTOFFICE EXECUTIVE  and select Delete Role.
7.Enter  the Role Name and click on the “Delete” button.",Role Name should be Deleted Successfully,Manual,P1,Sankar,Critical,V18,Function 
Admin,TC_062,,AHC -> AHC HOD -> Rename Role,To verify the user able to Rename the role.,"1.Launch the application
2.Login to the application with valid credentials.
3.Click on External Service Tab and select Admin from the drop down.
4.Click on Navigation Menu -> Masters ->Roles -> AHC.
5.Expand  AHC.
6. Right click on AHC HOD  and select Rename Role .
7.Enter  the Role Name and click on the “Rename” button.",Role name should be Rename,Manual,P1,Sankar,Critical,V14,Function 
